9.121502	12.304578	song
16.929986	20.172744	song
25.981858	29.075410	song
36.416379	39.430354	song
44.722218	47.507410	song
52.819168	55.843090	song
61.592521	64.606496	song
71.619211	74.493926	song
80.989391	84.072996	song
91.782008	94.636829	song
103.857803	106.881725	song
113.446819	116.460794	song
125.045153	128.098916	song
136.862322	139.856403	song
147.436103	150.350607	song
156.865966	159.690946	song
170.762082	174.711086	song
181.475122	184.220526	song
189.960010	193.103297	song
201.787126	204.950308	song
213.007469	216.071180	song
222.208549	224.496385	song
242.878649	245.265956	song
255.272751	257.829159	song
267.726536	269.895006	song
281.364027	283.771229	song
291.142039	293.539293	song
299.447878	301.805344	song
308.440068	310.787586	song
316.566859	319.521151	song
328.354187	330.642023	song
338.271459	340.290722	song
350.038893	352.794243	song
360.075529	362.333524	song
